型式,測照地點,測照方向,管轄分局
非線圈數位-攝影,大中一路與鼎中路口西向東,東向西,左營分局
非線圈數位-雷射,岡山區嘉新東路與聖森路口,西向東,岡山分局
線圈數位,大寮區鳳林一路與鳳林路四段,北向南,林園分局
線圈數位,鳳山區中山東路與光遠路口,南向北,鳳山分局
線圈數位,鳳山區中山東路與仁愛路口,北向南,鳳山分局
線圈數位,創新路與土庫路口,西向東,楠梓分局
雷達數位,鳳山區鳳頂路(台糖加油站對面),北向南,鳳山分局
線圈數位,燕巢區中興路與南一巷口(燕巢國中前),北向南,岡山分局
雷達數位,旗山區台28線29.2公里處,西向東,旗山分局
雷達數位,中正地下道(東向西出口)(超速),東向西,苓雅分局
非線圈數位-雷射,中正地下道(東向西出口)(變換車道),東向西,苓雅分局
雷達數位,中正地下道(西向東出口)(超速),西向東,苓雅分局
非線圈數位-雷射,中正地下道(西向東出口)(變換車道),西向東,苓雅分局
非線圈數位-雷射,中山四路地下道(北向南出口)(變換車道),北向南,前鎮分局
非線圈數位-雷射,中山四路地下道(南向北出口)(變換車道),南向北,前鎮分局
雷達數位,東亞南路與平和二路口,南向北,小港分局
雷達數位,東亞南路與平和七路口,北向南,小港分局
非線圈數位-雷射,旗山區延平一路與旗甲路一段路口,北向南,旗山分局
非線圈數位-雷射,仁武區仁雄路與澄仁路口(兼測速),西向東,仁武分局
非線圈數位-雷射,大寮區內坑路與仁德路口(兼測速),東向西,林園分局
非線圈數位-雷射,岡山區介壽東路與和平路口(兼測速),東向西,岡山分局
線圈數位,湖內區中山路一段與284巷口,南向北,湖內分局
雷達數位,鳳山區維武路陸軍官校側門以北50公尺處,北向南,鳳山分局
雷達數位,橋頭區白樹路206號前,西向東,岡山分局
雷達數位,岡山區岡山北路267號前,北向南,岡山分局
雷達數位,岡山區嘉峰路高鐵橋下,北向南,岡山分局
雷達數位,大社區和平路一段710-1號前,東向西,仁武分局
雷達數位,大寮區新厝路119-31號以西60公尺處,西向東,林園分局
雷達數位,田寮區台28線鹿埔路19號前,西向東,湖內分局
雷達數位,旗山區旗南三路8號以北50公尺處,北向南,旗山分局
雷達數位,美濃區復興街一段480號前,北向南,旗山分局
雷達數位,六龜區旗六公路新威國小前,西向東,六龜分局
雷達數位,南星三路段(沿海路以北700公尺處),北向南,小港分局
非線圈數位-攝影,中安路與明聖街230巷口,西向東,小港分局
非線圈數位-攝影,沿海一路與宏平路口,南向北,小港分局
非線圈數位-攝影,凱旋四路與凱旋四路424巷口,西向東,前鎮分局
非線圈數位-攝影,大寮區內坑路161之21號前路口,西向東,林園分局
非線圈數位-攝影,大社區和平路二段與中華路14巷口,東向西,仁武分局
非線圈數位-攝影,燕巢區台22線深水國小前路口,東向西,岡山分局
非線圈數位-攝影,鳳山區國泰路一段與鳳頂路口,西向東,鳳山分局
雷達數位,中山四路段(平和東路以北50公尺處),北向南,小港分局
非線圈數位-雷射,南星路與丹山路口,北向南,小港分局
雷達數位,沿海三路與鳳鳴路口,北向南,小港分局
非線圈數位-雷射,成功二路、興發路口,北向南,前鎮分局
非線圈數位-雷射,凱旋四路、中山四路口,西向東,前鎮分局
非線圈數位-雷射,中華五路與復興三路口,南向北,前鎮分局
非線圈數位-雷射,中山四路與中平路口,北向南,前鎮分局
非線圈數位-雷達,橋頭區成功北路與新興路,北向南,岡山分局
非線圈數位-雷達,橋頭區成功北路與鐵道北路,北向南,岡山分局
非線圈數位-雷射,九如一路與大昌二路口,西向東,三民二分局
非線圈數位-雷達,仁武區鳳仁路與成功路口,南向北,仁武分局
